"m","ej","lp","wp","sp","ll","wl","hl","wlDll","wpDwl","wpDlp","lpDll","spDwp","wlDhl","num","nci","cul","med","ret","max","mic"
"v2",6,0.92,0.24,0.206,11.997,5.681,7.072,0.474,0.042,0.261,0.077,0.858,0.803,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"v3",2,0.918,0.198,0.176,8.351,5.167,3.273,0.619,0.038,0.216,0.11,0.889,1.579,"5","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone ACB",1,1,1,0
"v3",5,0.745,0.192,0.171,8.592,4.214,4.622,0.49,0.046,0.258,0.087,0.891,0.912,"5","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone ACB",1,1,1,0
"v3",4,0.7,0.203,0.179,9.809,4.591,5.889,0.468,0.044,0.29,0.071,0.882,0.78,"5","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone ACB",1,1,1,0
"v4",3,0.609,0.195,0.172,8.099,4.784,3.117,0.591,0.041,0.32,0.075,0.882,1.535,"6","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Bianco",1,1,1,0
"v4",4,0.528,0.19,0.158,7.175,4.409,3.765,0.614,0.043,0.36,0.074,0.832,1.171,"6","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Bianco",1,1,1,0
"v4",5,0.56,0.185,0.171,7.553,4.233,3.763,0.56,0.044,0.33,0.074,0.924,1.125,"6","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Bianco",1,1,1,0
"v5",1,0.738,0.226,0.186,8.928,4.454,5.08,0.499,0.051,0.306,0.083,0.823,0.877,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"v5",2,0.89,0.203,0.176,8.905,4.861,4.749,0.546,0.042,0.228,0.1,0.867,1.024,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"v5",6,1.167,0.205,0.183,9.7,5.546,4.925,0.572,0.037,0.176,0.12,0.893,1.126,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"v6",1,1.229,0.213,0.171,14.118,5.835,7.881,0.413,0.037,0.173,0.087,0.803,0.74,"110","Citrus × lumia Risso & Poit. (= Citrus maxima × C. medica) ","""Pomum Adami""",1,0,1,0
"v6",2,1.365,0.273,0.213,10.399,7.511,5.27,0.722,0.036,0.2,0.131,0.78,1.425,"110","Citrus × lumia Risso & Poit. (= Citrus maxima × C. medica) ","""Pomum Adami""",1,0,1,0
"v6",3,1.299,0.205,0.144,7.861,5.254,4.299,0.668,0.039,0.158,0.165,0.702,1.222,"110","Citrus × lumia Risso & Poit. (= Citrus maxima × C. medica) ","""Pomum Adami""",1,0,1,0
"v7",2,0.713,0.192,0.168,10.215,5.055,6.05,0.495,0.038,0.269,0.07,0.875,0.836,"11","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Portoghese",1,1,1,0
"v7",4,0.816,0.274,0.256,12.455,6.709,7.664,0.539,0.041,0.336,0.066,0.934,0.875,"11","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Portoghese",1,1,1,0
"v7",6,0.741,0.224,0.201,8.646,5.099,5.153,0.59,0.044,0.302,0.086,0.897,0.99,"11","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Portoghese",1,1,1,0
"v8",2,0.388,0.194,0.166,6.406,3.492,3.73,0.545,0.056,0.5,0.061,0.856,0.936,"58","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Peretta",1,1,1,0
"v8",4,0.53,0.177,0.161,7.37,3.515,4.043,0.477,0.05,0.334,0.072,0.91,0.869,"58","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Peretta",1,1,1,0
"v8",6,0.399,0.176,0.152,5.15,3.192,2.607,0.62,0.055,0.441,0.077,0.864,1.224,"58","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Peretta",1,1,1,0
"v9",1,0.635,0.176,0.155,7.802,4.544,3.962,0.582,0.039,0.277,0.081,0.881,1.147,"13","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Eureka",1,1,1,0
"v9",5,0.811,0.216,0.169,11.608,6.516,6.189,0.561,0.033,0.266,0.07,0.782,1.053,"13","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Eureka",1,1,1,0
"v9",6,0.683,0.184,0.155,11.031,6.097,6.294,0.553,0.03,0.269,0.062,0.842,0.969,"13","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Eureka",1,1,1,0
"w1",4,0.666,0.122,0.089,6.589,3.047,3.18,0.462,0.04,0.183,0.101,0.73,0.958,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"w1",6,0.903,0.188,0.15,11.471,5.974,5.821,0.521,0.031,0.208,0.079,0.798,1.026,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"w1",2,0.737,0.154,0.136,9.019,4.78,4.018,0.53,0.032,0.209,0.082,0.883,1.19,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"w2",2,0.831,0.16,0.141,8.021,3.792,3.946,0.473,0.042,0.193,0.104,0.881,0.961,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"w2",4,0.93,0.266,0.221,12.278,6.108,6.067,0.497,0.044,0.286,0.076,0.831,1.007,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"w2",6,0.89,0.2,0.167,8.783,4.154,4.483,0.473,0.048,0.225,0.101,0.835,0.927,"4","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Lunario",1,1,1,0
"w3",3,1.006,0.173,0.146,9.475,4.898,5.002,0.517,0.035,0.172,0.106,0.844,0.979,"12","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Verna",1,1,1,0
"w3",1,0.817,0.175,0.143,9.858,5.196,5.677,0.527,0.034,0.214,0.083,0.817,0.915,"12","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Verna",1,1,1,0
"w3",5,0.866,0.153,0.127,10.749,5.368,5.7,0.499,0.029,0.177,0.081,0.83,0.942,"12","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Verna",1,1,1,0
"w4",3,0.718,0.178,0.15,7.575,4.79,4.569,0.632,0.037,0.248,0.095,0.843,1.048,"6","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Bianco",1,1,1,0
"w4",4,0.698,0.153,0.136,8.935,5.028,4.497,0.563,0.03,0.219,0.078,0.889,1.118,"6","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Bianco",1,1,1,0
"w4",2,0.593,0.18,0.159,9.054,5.641,4.809,0.623,0.032,0.304,0.065,0.883,1.173,"6","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Bianco",1,1,1,0
"w5",1,0.669,0.134,0.119,7.721,4.113,4.311,0.533,0.033,0.2,0.087,0.888,0.954,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"w5",2,0.751,0.214,0.178,8.165,4.34,4.155,0.532,0.049,0.285,0.092,0.832,1.045,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"w5",6,0.747,0.202,0.177,9.017,4.944,5.435,0.548,0.041,0.27,0.083,0.876,0.91,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"w6",5,0.553,0.131,0.121,6.385,2.868,3.215,0.449,0.046,0.237,0.087,0.924,0.892,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"w6",4,0.611,0.136,0.102,6.081,2.826,2.717,0.465,0.048,0.223,0.1,0.75,1.04,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"w6",3,0.827,0.177,0.157,9.199,5.092,3.678,0.554,0.035,0.214,0.09,0.887,1.384,"8","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Limone",1,1,1,0
"w7",2,0.786,0.15,0.123,8.107,3.353,4.062,0.414,0.045,0.191,0.097,0.82,0.825,"57","Citrus × limon (L.) Burm. f. var. limon (= Citrus medica × (C. maxima × C. reticulata) ","Incannellato",1,1,1,0
"w7",4,0.756,0.147,0.125,9.736,3.789,4.884,0.389,0.039,0.194,0.078,0.85,0.776,"57","Citrus × limon (L.) Burm. f. var. limon (= Citrus medica × (C. maxima × C. reticulata) ","Incannellato",1,1,1,0
"w7",6,0.743,0.142,0.121,7.625,3.334,3.723,0.437,0.043,0.191,0.097,0.852,0.896,"57","Citrus × limon (L.) Burm. f. var. limon (= Citrus medica × (C. maxima × C. reticulata) ","Incannellato",1,1,1,0
"w8",4,0.61,0.141,0.109,6.846,4.553,3.455,0.665,0.031,0.231,0.089,0.773,1.318,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"w8",5,0.68,0.166,0.13,8.73,4.565,5.126,0.523,0.036,0.244,0.078,0.783,0.891,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"w8",6,0.875,0.165,0.147,9.276,5.129,4.463,0.553,0.032,0.189,0.094,0.891,1.149,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"w9",2,0.713,0.158,0.124,9.171,4.626,5.081,0.504,0.034,0.222,0.078,0.785,0.91,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"w9",3,0.574,0.163,0.098,6.184,2.885,3.396,0.467,0.056,0.284,0.093,0.601,0.85,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"w9",6,0.28,0.088,0.056,2.986,1.122,1.313,0.376,0.078,0.314,0.094,0.636,0.855,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"x1",4,0.887,0.406,0.136,7.766,4.704,4.229,0.606,0.086,0.458,0.114,0.335,1.112,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"x1",5,0.806,0.21,0.101,5.361,3.239,2.937,0.604,0.065,0.261,0.15,0.481,1.103,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"x1",6,0.597,0.245,0.106,5.411,2.791,3.072,0.516,0.088,0.41,0.11,0.433,0.909,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"x2",1,3.282,3.046,0.131,9.208,6.231,5.794,0.677,0.489,0.928,0.356,0.043,1.075,"101","Citrus maxima (Burm.) Merr. ","C. grandis ""Timor"" ",0,0,1,0
"x2",2,4.527,3.557,0.175,9.353,6.191,5.326,0.662,0.575,0.786,0.484,0.049,1.162,"101","Citrus maxima (Burm.) Merr. ","C. grandis ""Timor"" ",0,0,1,0
"x3",2,0.846,0.234,0.118,7.392,4.659,3.777,0.63,0.05,0.277,0.114,0.504,1.234,"1","Citrus × limon (L.) Burm.f. var. limon (= Citrus × limodulcis D.Rivera, Obón & F.Méndez, = Citrus medica × (C. maxima × C. reticulata)","Dulce",1,1,1,0
"x3",4,0.951,0.278,0.214,11.336,7.602,5.855,0.671,0.037,0.292,0.084,0.77,1.298,"1","Citrus × limon (L.) Burm.f. var. limon (= Citrus × limodulcis D.Rivera, Obón & F.Méndez, = Citrus medica × (C. maxima × C. reticulata)","Dulce",1,1,1,0
"x3",5,1.055,0.509,0.139,8.922,6.603,4.746,0.74,0.077,0.482,0.118,0.273,1.391,"1","Citrus × limon (L.) Burm.f. var. limon (= Citrus × limodulcis D.Rivera, Obón & F.Méndez, = Citrus medica × (C. maxima × C. reticulata)","Dulce",1,1,1,0
"x4",2,1.235,0.247,0.224,13.908,7.372,7.876,0.53,0.034,0.2,0.089,0.907,0.936,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x4",3,0.837,0.251,0.211,8.774,4.345,5.61,0.495,0.058,0.3,0.095,0.841,0.775,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x4",4,0.442,0.13,0.11,5.099,2.943,2.137,0.577,0.044,0.294,0.087,0.846,1.377,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x5",1,0.705,0.175,0.144,5.857,3.111,3.63,0.531,0.056,0.248,0.12,0.823,0.857,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x5",3,0.884,0.251,0.192,10.781,7.017,6.476,0.651,0.036,0.284,0.082,0.765,1.084,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x5",6,0.879,0.25,0.2,9.458,5.611,5.526,0.593,0.045,0.284,0.093,0.8,1.015,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x6",1,0.956,0.248,0.136,8.915,6.313,5.063,0.708,0.039,0.259,0.107,0.548,1.247,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"x6",3,1.388,0.362,0.192,10.628,7.326,5,0.689,0.049,0.261,0.131,0.53,1.465,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"x6",4,0.874,0.267,0.17,9.331,5.926,5.241,0.635,0.045,0.305,0.094,0.637,1.131,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"x7",1,0.643,0.227,0.211,10.41,5.25,5.202,0.504,0.043,0.353,0.062,0.93,1.009,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x7",2,0.749,0.232,0.18,8.797,4.552,4.116,0.517,0.051,0.31,0.085,0.776,1.106,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x7",5,0.678,0.232,0.214,10.473,5.415,5.492,0.517,0.043,0.342,0.065,0.922,0.986,"16","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Variegado",1,1,1,0
"x8",2,2.932,2.188,0.122,4.419,3.127,2.549,0.708,0.7,0.746,0.663,0.056,1.227,"102","Citrus maxima (Burm.) Merr. ","C. grandis ""Kao Pan"" ",0,0,1,0
"x8",4,4.037,2.627,0.145,4.815,3.478,2.831,0.722,0.755,0.651,0.838,0.055,1.229,"102","Citrus maxima (Burm.) Merr. ","C. grandis ""Kao Pan"" ",0,0,1,0
"x8",6,3.156,1.803,0.134,3.834,2.536,1.903,0.661,0.711,0.571,0.823,0.074,1.333,"102","Citrus maxima (Burm.) Merr. ","C. grandis ""Kao Pan"" ",0,0,1,0
"x9",1,0.142,0.046,0.042,1.35,0.761,0.572,0.564,0.06,0.324,0.105,0.913,1.33,"67","Citrus australasica F. Muell. var. sanguinea F. M. Bailey (= Microcitrus australasica (F. Muell.) Swingle)","Virgata",0,0,0,0
"x9",2,0.154,0.061,0.053,1.65,0.691,0.825,0.419,0.088,0.396,0.093,0.869,0.838,"67","Citrus australasica F. Muell. var. sanguinea F. M. Bailey (= Microcitrus australasica (F. Muell.) Swingle)","Virgata",0,0,0,0
"x9",6,0.143,0.045,0.036,1.467,0.751,0.538,0.512,0.06,0.315,0.097,0.8,1.396,"67","Citrus australasica F. Muell. var. sanguinea F. M. Bailey (= Microcitrus australasica (F. Muell.) Swingle)","Virgata",0,0,0,0
"x10",1,0.25,0.099,0.077,3.064,1.641,1.371,0.536,0.06,0.396,0.082,0.778,1.197,"53a","Citrus australasica F. Muell. var. australasica (= Microcitrus australasica (F. Muell.) Swingle)","Rainforest Diamond",0,0,0,0
"x10",2,0.295,0.109,0.079,3.285,1.831,1.493,0.557,0.06,0.369,0.09,0.725,1.226,"53a","Citrus australasica F. Muell. var. australasica (= Microcitrus australasica (F. Muell.) Swingle)","Rainforest Diamond",0,0,0,0
"x10",5,0.295,0.121,0.082,3.159,1.954,1.317,0.619,0.062,0.41,0.093,0.678,1.484,"53a","Citrus australasica F. Muell. var. australasica (= Microcitrus australasica (F. Muell.) Swingle)","Rainforest Diamond",0,0,0,0
"y1",1,0.624,0.267,0.105,5.364,3.073,2.969,0.573,0.087,0.428,0.116,0.393,1.035,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"y1",2,0.785,0.205,0.13,6.28,3.332,3.661,0.531,0.062,0.261,0.125,0.634,0.91,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"y1",6,0.876,0.355,0.122,6.419,3.575,3.353,0.557,0.099,0.405,0.136,0.344,1.066,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"y2",1,2.134,0.798,0.145,7.81,4.667,3.954,0.598,0.171,0.374,0.273,0.182,1.18,"103","Citrus maxima (Burm.) Merr. ","C. grandis ""d'Ischia"" ",0,0,1,0
"y2",2,1.923,0.653,0.12,7.879,4.962,4.083,0.63,0.132,0.34,0.244,0.184,1.215,"103","Citrus maxima (Burm.) Merr. ","C. grandis ""d'Ischia"" ",0,0,1,0
"y2",3,2.484,0.987,0.167,9.287,6.19,4.823,0.667,0.159,0.397,0.267,0.169,1.283,"103","Citrus maxima (Burm.) Merr. ","C. grandis ""d'Ischia"" ",0,0,1,0
"y3",2,0.78,0.207,0.186,8.256,4.806,3.727,0.582,0.043,0.265,0.094,0.899,1.29,"2","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Quatre Saisons",1,1,1,0
"y3",5,0.53,0.109,0.097,5.668,2.604,3.029,0.459,0.042,0.206,0.094,0.89,0.86,"2","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Quatre Saisons",1,1,1,0
"y3",3,0.874,0.175,0.126,6.545,3.045,3.409,0.465,0.057,0.2,0.134,0.72,0.893,"2","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Quatre Saisons",1,1,1,0
"y4",1,1.166,0.189,0.075,4.875,2.839,1.991,0.582,0.067,0.162,0.239,0.397,1.426,"77","Citrus × bergamia Risso","Castagnaro",1,1,1,0
"y4",3,1.114,0.206,0.106,6.373,2.871,3.458,0.45,0.072,0.185,0.175,0.515,0.83,"77","Citrus × bergamia Risso","Castagnaro",1,1,1,0
"y4",5,0.766,0.157,0.102,6.899,3.147,4.017,0.456,0.05,0.205,0.111,0.65,0.783,"77","Citrus × bergamia Risso","Castagnaro",1,1,1,0
"z1",1,1,0.555,0.147,8.156,4.889,4.464,0.599,0.114,0.555,0.123,0.265,1.095,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"z1",2,0.822,0.319,0.172,7.897,5.556,4.272,0.704,0.057,0.388,0.104,0.539,1.301,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"z1",5,0.489,0.163,0.124,5.246,3.147,2.664,0.6,0.052,0.333,0.093,0.761,1.181,"3","Citrus × latifolia (Tanaka ex Yu. Tanaka) Tanaka (= Citrus × aurantiifolia × C. × limon)","Bearss",1,1,1,1
"z2",3,0.865,0.21,0.17,14.036,6.104,8.673,0.435,0.034,0.243,0.062,0.81,0.704,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"z2",4,0.886,0.238,0.226,15.574,7.237,9.033,0.465,0.033,0.269,0.057,0.95,0.801,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"z2",6,0.987,0.233,0.209,11.637,6.598,5.868,0.567,0.035,0.236,0.085,0.897,1.124,"16a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","Fino",1,1,1,0
"z3",4,1.485,0.187,0.134,9.42,5.38,4.652,0.571,0.035,0.126,0.158,0.717,1.156,"50","Citrus × aurantium L. var. sinensis L. (=Citrus sinensis (L.) Osbeck, = Citrus maxima × C. reticulata)","Ovale calabrese",0,1,1,0
"z3",5,1.319,0.175,0.119,9.017,4.656,4.629,0.516,0.038,0.133,0.146,0.68,1.006,"50","Citrus × aurantium L. var. sinensis L. (=Citrus sinensis (L.) Osbeck, = Citrus maxima × C. reticulata)","Ovale calabrese",0,1,1,0
"z3",6,1.119,0.262,0.105,6.624,2.62,4.273,0.396,0.1,0.234,0.169,0.401,0.613,"50","Citrus × aurantium L. var. sinensis L. (=Citrus sinensis (L.) Osbeck, = Citrus maxima × C. reticulata)","Ovale calabrese",0,1,1,0
"aa1",1,1.174,0.203,0.149,11.703,6.086,5.72,0.52,0.033,0.173,0.1,0.734,1.064,"104","Citrus medica L.","C.medica ""Saló""",1,0,0,0
"aa1",2,1.191,0.208,0.168,10.786,5.579,6.59,0.517,0.037,0.175,0.11,0.808,0.847,"104","Citrus medica L.","C.medica ""Saló""",1,0,0,0
"aa1",3,0.642,0.207,0.177,11.08,6.104,6.941,0.551,0.034,0.322,0.058,0.855,0.879,"104","Citrus medica L.","C.medica ""Saló""",1,0,0,0
"aa2",2,1.09,0.358,0.201,10.553,6.691,5.917,0.634,0.054,0.328,0.103,0.561,1.131,"3a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","La Valette",1,1,1,0
"aa2",6,0.979,0.512,0.175,9.293,5.619,5.43,0.605,0.091,0.523,0.105,0.342,1.035,"3a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","La Valette",1,1,1,0
"aa2",4,0.988,0.229,0.118,5.897,2.783,3.533,0.472,0.082,0.232,0.168,0.515,0.788,"3a","Citrus × limon (L.) Burm. f. var. limon  (= Citrus medica × (C. maxima × C. reticulata)","La Valette",1,1,1,0
"ab1",1,0.565,0.197,0.178,9.96,5.233,5.924,0.525,0.038,0.349,0.057,0.904,0.883,"105","Citrus medica L.","C.medica ""Ordinario""",1,0,0,0
"ab1",3,0.614,0.164,0.151,8.642,4.411,5.059,0.51,0.037,0.267,0.071,0.921,0.872,"105","Citrus medica L.","C.medica ""Ordinario""",1,0,0,0
"ab1",4,0.66,0.207,0.172,9.037,5.622,4.672,0.622,0.037,0.314,0.073,0.831,1.203,"105","Citrus medica L.","C.medica ""Ordinario""",1,0,0,0
